Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33
Type 2;{Wood diffuse-porous (5)};{Random distribution};{Solitary and multiple};{Simple perforation plates (13)}&{Horizontal};{Intervessel pits alternate (22)}&{Vestured (29)}&{Coalescent pit apertures};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";not applicable;{100–200 ?m (42)}&{? 200 µm (43)};{20–40 vessels per square millimetre (48)};{Fibres with simple to minutely bordered pits (61)};{Non-septate fibres present (66)};{Rays commonly 1-2 seriate (97)}&{Rays commonly 2-3 seriate (97)}&{Rays commonly 3-5 seriate (98)}&{Rays commonly 6-10 seriate (98)};{All ray cells procumbent (104)};{Not observed};{4–12 / mm (115)};{Not observed};{Prismatic crystals present (136)};not applicable;{Growth ring boundaries indistinct or absent (2)};?;{Fibres thin- to thick-walled (69)}&{Fibres very thick-walled (70)};{Two cells per parenchyma strand (91)}&{Four (3-4) cells per parenchyma strand (92)};{Prismatic crystals in chambered axial parenchyma cells (142)};not applicable;not applicable;{Not observed};{Axial parenchyma aliform (80)}&{Axial parenchyma confluent (83)}&{Axial parenchyma bands more than three cells wide (85)}&{Axial parenchyma in marginal or in seemingly marginal bands (89)};{Not observed};{Axial parenchyma lozenge-aliform (81)};{Not observed};?;?
Type 22;{Wood diffuse-porous (5)}&{Wood semi-ring-porous (4)};{Vessels in diagonal and/or radial pattern (7)}&{Random distribution};{Solitary and multiple}&{Vessels in radial multiples of 4 or more common (10)};{Simple perforation plates (13)}&{Horizontal};{Intervessel pits alternate (22)};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";not applicable;{50-100 µm (41)};{40–100 vessels per square millimetre (49)};{Fibres with simple to minutely bordered pits (61)};{Non-septate fibres present (66)};{Rays exclusively uniseriate (96)};{All ray cells procumbent (104)};{Not observed};{4–12 / mm (115)}&{? 12 / mm (116)};{Rays and /or axial elements irregularly storied (122)}&{Not observed};{Prismatic crystals present (136)};not applicable;{Growth ring boundaries distinct (1)};?;{Fibres thin- to thick-walled (69)};?;?;not applicable;not applicable;{Not observed};{Axial parenchyma absent or extremely rare (75)};{Gums and other deposits in heartwood vessels (58)};not applicable;{Not observed};?;?
PMG22_IW_1;{Wood diffuse-porous (5)};{Random distribution};{Solitary and multiple};{Oblique}&{Simple perforation plates (13)};{Intervessel pits alternate (22)};{Vessel–ray pits with much reduced borders to apparently simple: pits rounded or angular (31)}&{Vessel–ray pits with much reduced borders to apparently simple: pits horizontal (scalariform, gash-like) to vertical (palisade) (32)}&{Vessel–ray pits of two distinct sizes or types in the same ray cell (33)};not applicable;{50-100 µm (41)};{40–100 vessels per square millimetre (49)}&{20–40 vessels per square millimetre (48)};{Fibres with simple to minutely bordered pits (61)};{Septate fibres present (65)}&{Non-septate fibres present (66)};{Rays commonly 2-3 seriate (97)}&{Rays commonly 3-5 seriate (98)};{Body ray cells procumbent with mostly 2– 4 rows of upright and/or square marginal cells (107)}&{Body ray cells procumbent with over 4 rows of upright and/or square marginal cells (108)}&{Rays with procumbent, square and upright cells mixed throughout the ray (109)};{Sheath cells (110)}&{Perforated ray cells (112)}&{Fusionate rays};{4–12 / mm (115)};{Not observed};{Prismatic crystals present (136)};not applicable;{Growth ring boundaries indistinct or absent (2)};{Large: ? 10 ?m (27)};{Fibres thin- to thick-walled (69)};{Eight (5-8) cells per parenchyma strand (93)};{Prismatic crystals in upright and/or square ray cells (137)};not applicable;not applicable;{Not observed};{Axial parenchyma absent or extremely rare (75)}&{Axial parenchyma apotracheal diffuse (76)}&{Axial parenchyma scanty paratracheal (78)};{Tyloses common (56)};not applicable;{Not observed};{Shape of alternate intervessel pits polygonal (23)}&{Shape of alternate intervessel pits rounded};{Small: 4 - 7 ?m }
PMG22_IW_2;?;{Random distribution};{Vessels exclusively solitary (90% or more) (9)};{Simple perforation plates (13)};{Intervessel pits alternate (22)};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";not applicable;{50-100 µm (41)}&{100–200 ?m (42)}&{Vessels of two distinct diameter classes, wood not ring-porous (45)};{5–20 vessels per square millimetre (47)};{Fibres with simple to minutely bordered pits (61)};?;{Rays exclusively uniseriate (96)};{Rays with procumbent, square and upright cells mixed throughout the ray (109)};{Not observed};?;{Not observed};{Prismatic crystals present (136)};not applicable;?;?;{Fibres thin- to thick-walled (69)};?;{Prismatic crystals in upright and/or square ray cells (137)};not applicable;not applicable;{Crystals in enlarged cells (idioblasts) (156)};{Axial parenchyma aliform (80)}&{Axial parenchyma confluent (83)};{Not observed};{Axial parenchyma lozenge-aliform (81)}&{Axial parenchyma winged-aliform (82)};{Included phloem, diffuse (134)};?;?
PMG22_IW_3;{Wood diffuse-porous (5)};{Random distribution};{Vessel clusters common (11)}&{Exclusively multiple};{Simple perforation plates (13)}&{Horizontal}&{Oblique};{Intervessel pits alternate (22)}&{Coalescent pit apertures};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";{Helical thickenings only in vessel element tails (38)};{? 50 µm (40)};{40–100 vessels per square millimetre (49)};{Fibres with simple to minutely bordered pits (61)};{Non-septate fibres present (66)};not described;{Rays with procumbent, square and upright cells mixed throughout the ray (109)};not described;{4–12 / mm (115)};{Not observed};{Not observed};not applicable;{Growth ring boundaries indistinct or absent (2)};{Minute: ? 4 ?m (24)};{Fibres thin- to thick-walled (69)}&{Fibres very thick-walled (70)};{Two cells per parenchyma strand (91)}&{Four (3-4) cells per parenchyma strand (92)};not applicable;not applicable;not applicable;{Not observed};{Axial parenchyma scanty paratracheal (78)};{Grooves in vessel elements}&{Gums and other deposits in heartwood vessels (58)}&{Helical thickenings in vessel elements present (36)};not applicable;{Not observed};{Shape of alternate intervessel pits polygonal (23)};{Minute: ? 4 ?m }
PMG22_IW_5;{Wood diffuse-porous (5)};{Random distribution};{Solitary and multiple};{Simple perforation plates (13)};{Intervessel pits alternate (22)};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";not applicable;{50-100 µm (41)};{40–100 vessels per square millimetre (49)};{Fibres with simple to minutely bordered pits (61)};{Non-septate fibres present (66)};{Rays exclusively uniseriate (96)}&{Rays commonly 1-2 seriate (97)};{Body ray cells procumbent with mostly 2– 4 rows of upright and/or square marginal cells (107)}&{Body ray cells procumbent with over 4 rows of upright and/or square marginal cells (108)}&{All ray cells upright and /or square (105)};{Not observed};{? 12 / mm (116)};{Not observed};{Prismatic crystals present (136)};not applicable;{Growth ring boundaries indistinct or absent (2)};{Medium: 7 - 10 ?m (26)};{Fibres very thin-walled (68)}&{Fibres thin- to thick-walled (69)};{Over eight cells per per parenchyma strand (94)}&{Eight (5-8) cells per parenchyma strand (93)};{Prismatic crystals in upright and/or square ray cells (137)};not applicable;not applicable;{Not observed};{Axial parenchyma scanty paratracheal (78)}&{Axial parenchyma apotracheal diffuse (76)};{Tyloses sclerotic (57)}&{Gums and other deposits in heartwood vessels (58)};not applicable;{Not observed};{Shape of alternate intervessel pits rounded};{Minute: ? 4 ?m }
PMG22_IW_6;{Wood diffuse-porous (5)};{Random distribution};{Solitary and multiple};{Simple perforation plates (13)}&{Oblique};{Intervessel pits alternate (22)};{Vessel–ray pits with much reduced borders to apparently simple: pits rounded or angular (31)}&{Vessel–ray pits with much reduced borders to apparently simple: pits horizontal (scalariform, gash-like) to vertical (palisade) (32)}&{Vessel–ray pits of two distinct sizes or types in the same ray cell (33)};not applicable;{? 50 µm (40)}&{50-100 µm (41)};{40–100 vessels per square millimetre (49)}&{20–40 vessels per square millimetre (48)};{Fibres with simple to minutely bordered pits (61)};{Septate fibres present (65)};{Rays commonly 2-3 seriate (97)}&{Rays commonly 3-5 seriate (98)};{All ray cells upright and /or square (105)}&{Body ray cells procumbent with over 4 rows of upright and/or square marginal cells (108)};{Sheath cells (110)}&{Fusionate rays};{4–12 / mm (115)};{Not observed};{Prismatic crystals present (136)}&{Silica bodies present (159)};{Silica bodies in ray cells (160)};{Growth ring boundaries indistinct or absent (2)};{Minute: ? 4 ?m (24)};{Fibres thin- to thick-walled (69)}&{Fibres very thick-walled (70)};{Eight (5-8) cells per parenchyma strand (93)};{Prismatic crystals in upright and/or square ray cells (137)};not applicable;not applicable;{Not observed};{Axial parenchyma absent or extremely rare (75)}&{Axial parenchyma scanty paratracheal (78)};{Solitary vessel outline angular (12)}&{Tyloses common (56)};not applicable;{Not observed};{Shape of alternate intervessel pits polygonal (23)};{Small: 4 - 7 ?m }
Type 8;{Wood diffuse-porous (5)};{Vessels in diagonal and/or radial pattern (7)};{Vessels in radial multiples of 4 or more common (10)}&{Vessel clusters common (11)}&{Solitary and multiple};{Simple perforation plates (13)}&{Horizontal}&{Oblique};{Intervessel pits alternate (22)};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";not applicable;{? 50 µm (40)}&{50-100 µm (41)};{20–40 vessels per square millimetre (48)};{Fibres with simple to minutely bordered pits (61)};{Non-septate fibres present (66)};{Rays commonly 1-2 seriate (97)}&{Rays commonly 2-3 seriate (97)};{All ray cells procumbent (104)};{Not observed};{4–12 / mm (115)};{Not observed};{Not observed};not applicable;{Growth ring boundaries distinct (1)}&{Growth ring boundaries indistinct or absent (2)};{Minute: ? 4 ?m (24)};{Fibres thin- to thick-walled (69)}&{Fibres very thick-walled (70)};{Two cells per parenchyma strand (91)}&{Fusiform parenchyma cells (90)};not applicable;not applicable;not applicable;{Not observed};{Axial parenchyma vasicentric (79)}&{Axial parenchyma confluent (83)}&{Axial parenchyma in marginal or in seemingly marginal bands (89)};{Not observed};not applicable;{Not observed};?;{Minute: ? 4 ?m }
Type 5;{Wood semi-ring-porous (4)}&{Wood diffuse-porous (5)};{Random distribution};{Vessels exclusively solitary (90% or more) (9)};{Simple perforation plates (13)}&{Horizontal};{Intervessel pits alternate (22)}&{Transitional (alternate or opposite tending to scalariform)};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}&{Vessel–ray pits with much reduced borders to apparently simple: pits rounded or angular (31)}";not applicable;{50-100 µm (41)}&{100–200 ?m (42)};{40–100 vessels per square millimetre (49)}&{20–40 vessels per square millimetre (48)};{Fibres with distinctly bordered pits (62)}&{Fibre pits common in both radial and tangential walls (63)};{Non-septate fibres present (66)};{Rays commonly 1-2 seriate (97)}&{Rays commonly 2-3 seriate (97)};{Body ray cells procumbent with one row of upright and /or square marginal cells (106)}&{Body ray cells procumbent with mostly 2– 4 rows of upright and/or square marginal cells (107)};{Not observed};{4–12 / mm (115)}&{? 12 / mm (116)};not described;{Prismatic crystals present (136)};not applicable;{Growth ring boundaries distinct (1)}&{Growth ring boundaries indistinct or absent (2)};{Small: 4 - 7 ?m (25)}&{Medium: 7 - 10 ?m (26)};{Fibres thin- to thick-walled (69)}&{Fibres very thick-walled (70)};?;{Prismatic crystals in upright and/or square ray cells (137)}&{Prismatic crystals in procumbent ray cells (138)};not applicable;not applicable;{Not observed};{Axial parenchyma absent or extremely rare (75)};{Tyloses common (56)};not applicable;{Not observed};{Shape of alternate intervessel pits rounded};{Small: 4 - 7 ?m }&{Minute: ? 4 ?m }
Type 7;{Wood diffuse-porous (5)};{Vessels in diagonal and/or radial pattern (7)};{Vessels in radial multiples of 4 or more common (10)}&{Exclusively multiple};{Simple perforation plates (13)}&{Oblique};{Intervessel pits alternate (22)}&{Coalescent pit apertures};"{Vessel–ray pits with distinct borders; similar to intervessel pits in size and shape throughout the ray cell (30)}";not applicable;{? 50 µm (40)}&{50-100 µm (41)};{40–100 vessels per square millimetre (49)};{Fibres with simple to minutely bordered pits (61)};{Non-septate fibres present (66)};{Rays commonly 1-2 seriate (97)}&{Rays commonly 2-3 seriate (97)}&{Rays with multiseriate portion(s) as wide as uniseriate portions (100)};{Body ray cells procumbent with one row of upright and /or square marginal cells (106)}&{Body ray cells procumbent with mostly 2– 4 rows of upright and/or square marginal cells (107)}&{Body ray cells procumbent with over 4 rows of upright and/or square marginal cells (108)}&{Rays with procumbent, square and upright cells mixed throughout the ray (109)};{Fusionate rays};{? 12 / mm (116)}&{4–12 / mm (115)};{Not observed};{Not observed};not applicable;{Growth ring boundaries distinct (1)}&{Growth ring boundaries indistinct or absent (2)};{Minute: ? 4 ?m (24)};{Fibres very thick-walled (70)};{Two cells per parenchyma strand (91)}&{Fusiform parenchyma cells (90)};not applicable;not applicable;not applicable;{Not observed};{Axial parenchyma scanty paratracheal (78)}&{Axial parenchyma vasicentric (79)}&{Axial parenchyma in marginal or in seemingly marginal bands (89)}&{Axial parenchyma confluent (83)};{Solitary vessel outline angular (12)}&{Gums and other deposits in heartwood vessels (58)};not applicable;{Not observed};{Shape of alternate intervessel pits rounded}&{Transitional shape of alternate intervessel pits (angular to rounded)};{Minute: ? 4 ?m }
